n_features,cv_accuracy
1,0.6476923076923077
2,0.8089663461538461
3,0.846298076923077
4,0.8944471153846154
5,0.9255048076923078
6,0.936298076923077
7,0.9022596153846154
8,0.9270913461538463
9,0.922451923076923
10,0.955048076923077
11,0.8820192307692307
12,0.8897596153846153
13,0.8913221153846154
14,0.8975480769230769
15,0.8882692307692308
16,0.8959134615384615
17,0.9239423076923078
18,0.9518990384615386
19,0.9518990384615386
20,0.9643269230769231
21,0.9674038461538462
22,0.9689663461538462
23,0.9689663461538462
24,0.9689663461538462
25,0.9689663461538462
26,0.9689663461538462
27,0.9689663461538462
28,0.9689663461538462
29,0.9689663461538462
30,0.9689663461538462
31,0.9689663461538462
32,0.9689663461538462
33,0.9689663461538462
34,0.9720913461538462
35,0.9720673076923078
36,0.9720673076923078
37,0.9751923076923077
38,0.9751923076923077
39,0.9751923076923077
40,0.9751923076923077
41,0.9751923076923077
42,0.9782451923076924
43,0.9782451923076924
44,0.9782451923076924
45,0.9782451923076924
46,0.9393750000000001
47,0.9409134615384616
48,0.9440384615384616
49,0.9440384615384616
50,0.9642307692307692
55,0.9580769230769232
60,0.9642548076923078
65,0.9751442307692308
70,0.9736298076923078
75,0.9843990384615384
80,0.9937740384615384
85,0.9937740384615384
90,0.9968990384615385
95,0.9984615384615385
100,1.0
105,1.0
110,1.0
115,1.0
120,1.0
125,1.0
