n_features,cv_accuracy
1,0.5585915843753316
2,0.5605654233410667
3,0.5705835958507641
4,0.5687585039504452
5,0.5859093865163668
6,0.584999607953471
7,0.5972969544903164
8,0.6024592848148849
9,0.6039776579601589
10,0.6150566622542215
11,0.6268976205081845
12,0.6429828283620296
13,0.6464771160134865
14,0.6527014312004465
15,0.6528531762687317
16,0.6523981716794812
17,0.6671225168464701
18,0.6759292655815434
19,0.676081241265434
20,0.6851852535157349
21,0.6724333636208495
22,0.6754680343709498
23,0.6751645442343793
24,0.6748610540978087
25,0.6747093090295235
26,0.6725828025330818
27,0.6789595546351431
28,0.6813883981901288
29,0.688675159470691
30,0.6895826318775339
31,0.6882141588757028
32,0.6944405496031105
33,0.6944405496031105
34,0.6953510200128223
35,0.6955027650811075
36,0.6955027650811075
37,0.7073434927194653
38,0.7040032562923468
39,0.7040032562923468
40,0.7090140721642352
41,0.7065868429184866
42,0.7056775255868013
43,0.7143269944790624
44,0.6563442353017145
45,0.6561924902334292
46,0.6598369086439342
47,0.6598369086439342
48,0.6598369086439342
49,0.6602914520019741
50,0.6602914520019741
55,0.6624200340388634
60,0.6224983972215432
65,0.6232513571728371
70,0.625224965522967
75,0.6435930372536449
80,0.6478402848563956
85,0.7173642020008211
90,0.7443870467826816
95,0.7668478536605616
100,0.7940159862737592
105,0.80403300570543
110,0.8055516094663094
115,0.7996363191904471
120,0.801002486036225
125,0.8199694664938587
130,0.826953198869061
135,0.8313561120053871
140,0.852302466203283
145,0.8518470003828218
150,0.8518470003828218
155,0.8553387512626205
160,0.8553387512626205
165,0.8580724686478085
170,0.8580724686478085
